,キャベツ,ねぎ,レタス,ばれいしょ,たまねぎ,きゅうり,トマト,ほうれんそう,にんじん,はくさい,だいこん,なす
令和3年1月25日の週,177.0,768.0,513.0,,235.0,,627.0,,358.0,140,159,
令和3年2月１日の週,174.0,744.0,502.0,,235.0,,609.0,,360.0,137,155,
令和3年2月8日の週,154.0,732.0,457.0,,238.0,,588.0,,354.0,130,156,
令和3年2月15日の週,142.0,735.0,426.0,,239.0,,590.0,,360.0,132,146,
令和3年2月22日の週,136.0,760.0,380.0,,240.0,,593.0,,364.0,130,145,
令和3年3月1日の週,129.0,757.0,342.0,,240.0,,601.0,,386.0,133,142,
令和3年3月8日の週,121.0,750.0,343.0,,241.0,,612.0,,428.0,136,142,
令和3年3月15日の週,123.0,738.0,321.0,,241.0,,616.0,,458.0,142,141,
令和3年3月22日の週,127.0,711.0,338.0,,238.0,,627.0,,464.0,152,149,
令和3年3月29日の週,131.0,702.0,340.0,,241.0,,631.0,,467.0,167,154,
令和3年4月5日の週,131.0,678.0,328.0,550.0,237.0,523.0,631.0,,456.0,,,
令和3年4月12日の週,133.0,669.0,314.0,561.0,236.0,519.0,624.0,,437.0,,,
令和3年4月19日の週,147.0,702.0,338.0,568.0,235.0,504.0,615.0,,426.0,,,
令和3年4月26日の週,149.0,735.0,336.0,573.0,232.0,506.0,606.0,,418.0,,,
令和3年5月10日の週,144.0,760.0,320.0,578.0,229.0,480.0,606.0,,407.0,,,
令和3年5月17日の週,128.0,743.0,310.0,578.0,230.0,460.0,590.0,,401.0,,,
令和3年5月24日の週,122.0,740.0,348.0,569.0,229.0,473.0,579.0,,387.0,,,
令和3年5月31日の週,136.0,751.0,507.0,562.0,237.0,648.0,574.0,,382.0,,,
令和3年6月7日の週,166.0,780.0,513.0,549.0,241.0,593.0,575.0,,376.0,,,
令和3年6月14日の週,165.0,781.0,440.0,519.0,238.0,545.0,584.0,,374.0,,,
令和3年6月21日の週,175.0,772.0,366.0,485.0,241.0,510.0,606.0,,375.0,,,
令和3年6月28日の週,175.0,763.0,300.0,443.0,241.0,503.0,611.0,,378.0,,,
令和3年7月5日の週,171.0,756.0,285.0,418.0,244.0,459.0,659.0,,374.0,,,
令和3年7月12日の週,163.0,748.0,329.0,404.0,244.0,450.0,651.0,,376.0,,,
令和3年7月19日の週,147.0,742.0,369.0,393.0,245.0,456.0,626.0,,379.0,,,
令和3年7月26日の週,146.0,756.0,374.0,387.0,248.0,468.0,629.0,,375.0,,,
令和3年8月2日の週,148.0,744.0,400.0,379.0,255.0,461.0,613.0,,391.0,,,
令和3年8月9日の週,146.0,750.0,397.0,373.0,259.0,461.0,600.0,,392.0,,,
令和3年8月16日の週,150.0,764.0,422.0,375.0,270.0,557.0,600.0,,405.0,,,
令和3年8月23日の週,155.0,888.0,516.0,383.0,276.0,919.0,678.0,,408.0,,,
令和3年8月30日の週,161.0,885.0,740.0,402.0,276.0,894.0,762.0,,404.0,,,
令和3年9月6日の週,159.0,836.0,806.0,409.0,275.0,753.0,812.0,,396.0,,,
令和3年9月13日の週,188.0,831.0,950.0,417.0,277.0,747.0,896.0,,394.0,,,
令和3年9月20日の週,204.0,843.0,968.0,419.0,275.0,706.0,972.0,,394.0,,,
令和3年9月27日の週,220.0,822.0,820.0,423.0,273.0,682.0,984.0,,390.0,,,
令和3年10月４日の週,209.0,,638.0,426.0,280.0,,923.0,,379.0,310,208,
令和3年10月11日の週,187.0,,464.0,420.0,279.0,,845.0,,362.0,257,198,
令和3年10月18日の週,162.0,,380.0,415.0,280.0,,800.0,,351.0,201,180,
令和3年10月25日の週,145.0,,363.0,415.0,280.0,,769.0,,343.0,176,171,
令和3年11月1日の週,158.0,,401.0,415.0,290.0,,805.0,,344.0,173,168,
令和3年11月8日の週,168.0,,402.0,417.0,311.0,,854.0,,347.0,172,152,
令和3年11月15日の週,155.0,,369.0,418.0,333.0,,838.0,,361.0,158,138,
令和3年11月22日の週,141.0,,347.0,423.0,354.0,,826.0,,356.0,148,128,
令和3年11月29日の週,129.0,,339.0,425.0,368.0,,831.0,,348.0,140,120,
令和3年12月6日の週,123.0,,324.0,431.0,378.0,,826.0,,338.0,131,117,
令和3年12月13日の週,121.0,,342.0,432.0,382.0,,815.0,,332.0,127,116,
令和3年12月20日の週,122.0,,392.0,432.0,391.0,,773.0,,329.0,124,118,
令和4年1月3日の週,149.0,,524.0,451.0,398.0,,774.0,,338.0,135,157,
令和4年1月10日の週,146.0,,552.0,452.0,401.0,,740.0,,335.0,133,149,
令和4年1月17日の週,148.0,,535.0,457.0,403.0,,710.0,,336.0,131,143,
令和4年1月24日の週,157.0,,546.0,467.0,401.0,,681.0,,335.0,133,142,
令和4年1月31日の週,162.0,,592.0,474.0,402.0,,664.0,,324.0,134,148,
令和4年2月７日の週,170.0,,601.0,478.0,408.0,,657.0,,321.0,130,152,
令和4年2月14日の週,193.0,,641.0,482.0,413.0,,660.0,,319.0,143,170,
令和4年2月21日の週,192.0,,614.0,492.0,411.0,,661.0,,321.0,155,186,
令和4年2月28日の週,189.0,,568.0,492.0,418.0,,659.0,,328.0,163,194,
令和4年3月7日の週,202.0,,544.0,504.0,427.0,,663.0,,326.0,172,196,
令和4年3月14日の週,202.0,,499.0,509.0,436.0,,656.0,,336.0,183,193,
令和4年3月21日の週,200.0,,437.0,509.0,453.0,,656.0,,356.0,199,196,
令和4年3月28日の週,193.0,,425.0,510.0,469.0,,661.0,,365.0,212,192,
令和4年4月4日の週,191.0,577.0,426.0,506.0,483.0,520.0,656.0,,364.0,,,
令和4年4月11日の週,204.0,580.0,450.0,522.0,490.0,526.0,668.0,,370.0,,,
令和4年4月18日の週,220.0,599.0,440.0,531.0,502.0,510.0,687.0,,371.0,,,
令和4年4月25日の週,220.0,600.0,410.0,537.0,522.0,511.0,672.0,,376.0,,,
令和4年5月9日の週,212.0,642.0,413.0,550.0,581.0,532.0,656.0,,385.0,,,
令和4年5月16日の週,215.0,694.0,417.0,528.0,550.0,519.0,649.0,,375.0,,,
令和4年5月23日の週,194.0,729.0,399.0,499.0,534.0,510.0,637.0,,372.0,,,
令和4年5月30日の週,189.0,759.0,389.0,466.0,529.0,524.0,632.0,,369.0,,,
令和4年6月6日の週,191.0,797.0,382.0,441.0,514.0,498.0,638.0,,366.0,,,
令和4年6月13日の週,179.0,809.0,400.0,419.0,495.0,487.0,644.0,,369.0,,,
令和4年6月20日の週,170.0,824.0,395.0,399.0,469.0,482.0,657.0,,382.0,,,
令和4年6月27日の週,163.0,819.0,354.0,384.0,460.0,462.0,649.0,,383.0,,,
令和4年7月4日の週,163.0,831.0,348.0,374.0,447.0,455.0,627.0,,393.0,,,
令和4年7月11日の週,170.0,819.0,322.0,363.0,430.0,495.0,631.0,,407.0,,,
